商品ID,标题,风险等级,风险类型,销量,日增量,池,店铺ID,店铺名,发现时间,来源,品类,是否今日新发现
69fcc48ba823a600016105e1,【古法草本】大小基数贴试用装｜ 月半月半  氵显气重,medium,商品已下架/冻结,226000,0.0,WATCH,,,2026-06-18 14:48:17,web_full,,1
685cac7e3970ba00011666b4,随机花材普快基地直发售后无忧,medium,商品已下架/冻结,202000,0.0,WATCH,6852f4b50d9f880015a5ebf2,长花原野的店,2026-06-18 14:48:24,web_full,,1
66a90d2cdf61610001571faa,幸运系列大桔大利柑橘苹果草莓自然干净清新好闻香氛喷雾,medium,商品已下架/冻结,133000,0.0,WATCH,,,2026-06-18 14:56:56,web_full,,1
66a90d2cdf61610001571fa7,幸运系列大桔大利柑橘苹果草莓自然干净清新好闻香氛喷雾,medium,商品已下架/冻结,133000,0.0,WATCH,,,2026-06-18 14:56:57,web_full,,1
67177cbe0345b60001d02421,10天背完3000英语单词 正版 学生英语单词分类速记超图解,medium,商品已下架/冻结,106000,0.0,WATCH,671657b2463e7a0015f43061,文澜书院的店,2026-06-18 15:00:29,web_full,,1
68623cb747fd8b000169102c,六只兔子·内衣女小胸聚拢显大无痕收副乳无钢圈舒适防下垂文胸罩女,medium,商品已下架/冻结,93000,0.0,WATCH,629f32aff233e70001565d41,六只兔子旗舰店,2026-06-18 15:01:32,web_full,,1
685ba1ec835e2500013e066b,龙叔·踩数字玩法·保底奇萌ssr sr（随机发）·未成年禁止下单,medium,商品已下架/冻结,85000,0.0,WATCH,,,2026-06-18 15:05:51,web_full,,1
65aa1a243fe1550001e238e7,貂貂果园正宗烟台王林苹果 维纳斯苹果 高山红苹果 爱香妃 明月,medium,商品已下架/冻结,79000,0.0,WATCH,,,2026-06-18 15:09:04,web_full,,1
6895b92e99631f0001252885,文件收纳袋 (不包含娃)未成年人禁止下单,medium,商品已下架/冻结,65000,0.0,WATCH,66a9c81f0c476100152d648f,清仓潮玩（收娃&接寄拍）的店,2026-06-18 15:11:59,web_full,,1
687dfc92e53c1000152e4388,泰香了！泰式芍药盛开晨曦香氛喷雾女持久留香清新空气芳香剂正品,medium,商品已下架/冻结,61000,0.0,WATCH,,,2026-06-18 15:12:28,web_full,,1
68831eb80e13d50001afe007,泰香了！泰式芍药盛开晨曦香氛喷雾女持久留香清新空气芳香剂正品,medium,商品已下架/冻结,61000,0.0,NEW,,,2026-06-18 15:12:28,web_full,,1
687dfc92e53c1000152e438c,泰香了！泰式芍药盛开晨曦香氛喷雾女持久留香清新空气芳香剂正品,medium,商品已下架/冻结,61000,0.0,NEW,,,2026-06-18 15:12:28,web_full,,1
69ef855e6eeaf70001398a68,泰香了！泰式芍药盛开晨曦香氛喷雾女持久留香清新空气芳香剂正品,medium,商品已下架/冻结,61000,0.0,NEW,,,2026-06-18 15:12:28,web_full,,1
687dfc92e53c1000152e4390,泰香了！泰式芍药盛开晨曦香氛喷雾女持久留香清新空气芳香剂正品,medium,商品已下架/冻结,61000,0.0,WATCH,,,2026-06-18 15:12:31,web_full,,1
69e70cf852316e00010e967e,儿童节涂鸦贴纸矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:40,web_full,,1
69fadae9e0e86e0001cdf88a,儿童会所PPT案例合集,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:40,web_full,,1
69f020583a4daf0001f4487d,哥特式风格PNG素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:40,web_full,,1
69e5ff18454551000166e6c0,磨砂玻璃图标矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:40,web_full,,1
69edba6c3a4daf0001bc5796,手绘卡通小狗矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:40,web_full,,1
69f00eb2156029000150815b,复古魔法深蓝PNG素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69f1a6f2fda9a40001aa1cbe,蜜桃风野餐PNG素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69de2a10933b03000115d4af,红色丝带矢量素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69faf745273c7d0001ce802a,马卡龙拼贴PNG素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69eb55fb3aa96f0001272211,虚拟资料3505电子版,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69d4fb7010b42d00015870ae,春日小清新PSD海报,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69d76d69888f92000181e543,快递驿站SU模型合集,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69d8ca5f157a8a0001a4857e,地面拼花CAD平面图,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
69edbba743360b0001618d8d,PPT可编辑图标素材,medium,商品已下架/冻结,39000,0.0,WATCH,6450c1d8275ad10001a2fd76,慢慢设计的店,2026-06-18 13:34:41,web_full,,1
